STT,T1,L1,H1,S1,V1,X1,D1,N1,T2,L2,H2,S2,V2,X2,D2,N2,T3,L3,H3,S3,V3,X3,D3,N3,T4,L4,H4,S4,V4,X4,D4,N4,T5,L5,H5,S5,V5,X5,D5,N5,T6,L6,H6,S6,V6,X6,D6,N6,GT,DT,KV,DH1,DH2,DH3,KT,GT_num,KV_num,KT_num,TBM1,TBM2,TBM3,XL1,XL1_num,XL2,XL2_num,XL3,XL3_num,US_TBM1,US_TBM2,US_TBM3,KQXT
1,7.2,7.3,6.3,7.3,7.0,7.9,7.3,5.5,8.4,8.9,5.8,9.0,6.6,8.7,7.2,5.8,7.4,7.4,5.2,6.6,6.9,8.9,8.1,5.8,7.2,7.1,5.9,7.2,6.6,5.8,8.1,5.9,7.4,5.6,6.1,5.7,7.9,5.0,7.4,5.0,6.9,5.7,6.5,7.2,8.4,6.6,7.6,5.9,F,0.0,2NT,3.25,3.25,4.5,A1,0,2,1,7.0,7.06,6.540000000000001,K,2,K,2,K,2,2.9008,3.0368,2.4066,0
2,5.4,3.9,3.9,4.0,5.4,5.4,5.3,2.8,6.3,5.4,3.2,7.2,5.4,6.1,4.7,4.7,4.3,3.8,3.7,4.287500000000001,5.2,6.6,5.8,4.4,4.9,2.8,5.1,4.5,5.6,7.0,7.6,4.7,3.0,4.6,4.4,4.9,4.3,6.3,6.7,4.4,4.0,5.4,4.199999999999999,5.2,5.5,6.6,6.1,4.4,M,0.0,1,6.0,4.0,3.5,C,1,0,3,4.6899999999999995,4.75875,4.59,Y,0,Y,0,Y,0,0.5496,0.8849,0.2637,0
3,5.6,6.8,7.2,7.5,4.3,7.4,5.8,3.2,5.0,4.9,6.2,6.1,5.3,7.1,4.0,4.9,2.8,6.3,6.2,5.6,2.95,5.8,5.1,3.7,6.1,6.1,5.8,6.8,4.0,6.4,5.3,4.1,4.8,5.1,6.4,5.1,4.0,6.9,3.9,3.2,5.7,6.6,6.8,6.8,4.1,7.9,8.1,4.6,M,0.0,1,5.0,6.625,4.0,C,1,0,3,5.7700000000000005,4.42,4.82,TB,1,Y,0,Y,0,1.6489,0.5681,0.5165,1
4,6.6,6.4,5.3,6.9,5.4,7.3,6.4,5.8,5.1,6.2,5.5,5.5,4.4,6.5,4.9,4.4,5.9,7.3,5.9,4.9,5.7,6.8,6.8,5.4,4.1,4.4,4.1,7.3,5.3,7.1,7.3,5.6,6.1,4.9,5.3,4.0,6.2,5.5,5.9,6.5,7.4,5.6,6.6,6.8,6.6,7.1,7.3,7.4,M,0.0,1,4.25,4.25,5.25,D1,1,0,4,6.21,6.029999999999999,5.67,TB,1,TB,1,TB,1,2.0967,2.0736,1.4505,0
5,6.0,5.0,6.0,7.3,6.5,7.7,7.9,6.1,5.4,5.5,5.9,7.5,6.5,6.9,7.6,6.4,7.6,7.6,6.7,6.6,5.7,7.9,7.4,7.3,4.4,6.5,5.6,8.3,6.2,4.9,8.6,7.7,6.8,5.4,4.7,5.0,5.1,7.0,7.0,6.3,8.0,6.2,6.8,6.9,6.6,6.1,7.5,7.2,M,0.0,2NT,4.25,4.5,5.0,A,1,2,0,6.5,7.01,5.92,K,2,K,2,TB,1,2.3919,2.9901,1.7253,0
6,9.3,7.6,7.9,8.6,7.0,7.3,7.7,7.9,9.6,7.8,8.0,8.7,7.7,8.0,9.2,9.1,7.1,8.5,8.1,8.7,7.2,8.4,7.7,8.2,8.5,8.5,7.7,9.2,8.0,6.6,7.3,8.8,8.5,7.6,8.1,8.7875,8.4,6.6,6.6,8.2,7.8,6.4,7.2,7.7,7.7,5.7,8.0,7.8,M,0.0,1,1.5,4.0,6.0,D1,1,0,4,7.960000000000001,7.82,7.96875,K,2,K,2,K,2,3.8779,3.7475,3.9766,0
7,2.8,3.9,5.5,6.9,5.0,7.3,4.6,5.2,4.4,6.7,5.5,7.7,5.0,6.6,6.1,4.6,4.6,4.8,4.4,8.1,5.6,6.0,4.8,3.9,4.7,6.3,4.8,7.1,6.8,7.7,6.6,5.6,5.4,4.5,5.0,5.0,5.9,6.1,6.1,4.8,5.3,7.0,6.0,5.7,6.1,6.6,6.0,6.0,F,0.0,2,6.5,6.625,5.25,C,0,1,3,4.9,5.24,5.41,Y,0,TB,1,TB,1,0.7634,1.3349,1.1648,1
8,8.3,6.0,7.6,5.1,7.5,4.7,5.8,7.2,6.7,6.3,6.4,7.1,7.3,6.9,6.1,7.9,8.6,5.7,6.9,6.6,7.4,6.0,5.8,6.5,8.3,5.3,6.2,6.4,7.6,5.4,6.7,6.3,8.5,7.0,6.1,6.4,6.6,4.8,7.4,6.9,8.3,6.7,5.6,5.9,7.3,7.1,6.8,7.0,F,0.0,2,3.75,4.5,4.25,D1,0,1,4,6.8,6.95,6.88,K,2,K,2,K,2,2.6972,2.934,2.7802,0
9,6.5,6.3,7.6,6.0,5.5,7.1,6.3,5.0,7.3,6.8,7.3,6.5,6.4,7.9,7.6,3.7,6.4,6.7,6.7,7.3,6.2,6.1,8.2,5.7,8.1,6.0,6.3,7.8,7.2,7.6,8.5,5.7,7.7,7.5,8.8,6.5,5.6,5.6,7.1,6.7,7.7,8.7,8.9,7.5,6.0,9.1,7.9,6.1,F,0.0,1,3.5,3.5,6.75,D1,0,0,4,6.2299999999999995,6.590000000000001,6.880000000000001,TB,1,K,2,K,2,2.117,2.5973,2.7802,0
10,7.3,5.9,4.7,7.1,6.7,7.9,6.7,7.7,8.0,6.8,7.6,6.9,6.8,7.8,6.4,7.4,6.5,7.3,6.0,7.8,7.2,7.9,7.1,7.7,5.5,7.0,6.0,6.7,8.0,7.2,6.3,7.2,7.5,7.0,8.0,5.9,7.1,6.3,5.1,7.1,6.9,7.0,6.7,7.1,7.7,6.4,6.1,7.8,F,0.0,1,4.0,4.75,5.5,D1,0,0,4,6.8,7.12,6.859999999999999,K,2,K,2,K,2,2.6972,3.0929,2.7582,0
11,5.2,6.4,7.4,7.0,7.1,8.1,7.6,6.8,6.3,6.5,8.4,7.5,6.3,9.1,8.6,7.5,7.8,7.9,7.4,8.4,5.7,9.6,8.4,7.8,7.6,5.7,6.4,8.2,6.7,7.3,8.3,7.5,6.2,6.1,5.9,7.2,6.7,7.1,7.4,6.6,7.3,7.2,7.2,8.8,7.6,6.0,7.2,7.2,F,0.0,2,3.0,4.0,5.5,D1,0,1,4,6.790000000000001,7.65,6.609999999999999,K,2,K,2,K,2,2.687,3.5885,2.4835,0
12,7.9,7.0,9.1,8.6,6.1,7.0,5.6,9.0,8.2,7.1,8.8,7.6,6.9,7.3,7.2,9.0,8.1,8.4,8.5,7.6,5.5,8.0,6.6,8.6,6.9,7.0,8.9,8.6,5.6,5.3,7.1,8.3,8.0,7.8,8.6,7.3,6.2,3.9,5.7,8.6,8.1,7.9,8.3,7.9,6.4,6.4,6.7,8.7,M,0.0,2,6.75,6.5,4.25,D1,1,1,4,7.43,7.489999999999999,7.029999999999999,K,2,K,2,K,2,3.3384,3.4389,2.9451,1
13,7.3,6.3,8.7,7.7,6.6,8.5,6.9,8.5,5.8,5.7,6.3,7.3,7.3,7.1,7.9,7.7,8.5,7.1,7.8,6.5,7.1,8.4,8.5,9.1,7.6,6.7,6.7,7.8,7.5,7.1,7.8,8.9,9.3,7.2,8.6,7.1,7.5,6.9,7.5,9.0,8.3,7.0,7.1,7.2,7.9,6.8,5.6,8.5,F,0.0,1,2.0,4.5,5.0,D1,0,0,4,7.44,7.859999999999999,7.99,K,2,K,2,K,2,3.3486,3.7849,4.0,0
14,4.9,5.4,5.0,5.0,5.8,7.0,4.2,5.8,4.5,4.5,4.6,5.6,5.9,7.1,6.0,6.5,4.5,6.1,4.2,6.0,6.7,5.9,7.0,5.3,4.6,5.4,4.3,7.3,7.8,5.9,7.5,6.2,6.5,5.8,6.1,6.4,6.9,6.8,6.2,5.8,6.9,5.9,5.7,5.8,6.4,7.3,5.6,5.7,F,0.0,1,2.5,2.75,5.5,D1,0,0,4,5.380000000000001,5.6899999999999995,6.389999999999999,TB,1,TB,1,TB,1,1.2519,1.7557,2.2418,0
15,7.1,8.0,9.1,7.5,6.1,7.7,7.9,7.6,8.3,7.3,8.1,7.7,6.8,8.4,7.4,6.6,8.6,7.9,8.5,7.0,5.2,8.6,8.0,7.3,8.3,7.8,8.2,8.0,6.6,8.9,8.6,7.6,8.6,6.8,8.4,7.8,6.9,8.1,7.3,7.8,8.5,8.2,8.6,9.25,6.9,8.0,7.6,7.0,F,0.0,2NT,3.5,4.5,6.5,A,0,2,0,7.42,7.489999999999999,7.720000000000001,K,2,K,2,K,2,3.3282,3.4389,3.7033,0
16,2.5,5.3,4.9,8.2,6.9,6.0,6.7,5.0,6.2,3.8,4.7,8.6,7.5,6.3,8.0,5.6,6.5,5.9,5.7,6.4,7.2,6.1,7.6,4.8,7.3,5.5,5.4,5.2,7.0,7.7,8.1,6.9,3.4,5.3,4.6,5.0,7.4,5.6,6.8,5.0,5.3,6.0,6.0,6.2,7.2,7.1,6.8,5.0,M,0.0,1,3.75,3.0,6.5,D1,1,0,4,5.49,6.39,5.39,TB,1,TB,1,TB,1,1.3639,2.4103,1.1429,0
17,8.8,7.0,7.7,7.1,6.1,5.4,8.3,5.3,7.3,7.4,7.4,5.9,6.1,7.9,7.5,6.0,7.5,7.0,8.6,6.7,6.0,6.9,7.5,6.2,7.7,7.3,8.6,5.8,6.4,6.1,7.6,5.5,7.4,5.4,7.6,5.2,6.7,7.4,8.4,5.6,7.5,6.7,6.0,6.7,7.1,5.3,7.8,5.6,F,0.0,1,3.5,4.0,3.5,A,0,0,0,7.0600000000000005,6.99,6.779999999999999,K,2,K,2,K,2,2.9618,2.9714,2.6703,0
18,5.4,6.0,4.9,5.5,4.2,7.3,5.3,4.9,4.8,6.4,6.3,6.9,5.3,9.2,7.3,5.3,5.5,7.1,7.5,7.8,4.7,9.4,8.6,6.3,5.5,6.0,7.2,7.9,5.0,9.1,8.8,6.5,7.5,6.2,7.8,7.2,5.0,7.9,6.4,5.3,7.3,7.3,7.1,6.4,5.9,9.4,6.4,5.5,M,0.0,1,4.25,4.5,5.0,A,1,0,0,5.31,6.709999999999999,6.58,TB,1,K,2,K,2,1.1807,2.7095,2.4505,0
19,5.6,4.8,7.3,3.9,5.5,6.0,6.1,4.8,5.5,4.9,5.0,6.3,5.8,6.1,6.8,4.8,4.8,8.8,5.4,7.0,6.7,5.8,7.7,4.9,6.1,7.4,6.5,7.2,7.7,5.0,7.6,6.0,6.6,6.8,6.6,6.7,6.1,5.6,6.3,5.0,8.5,7.7,6.7,6.6,5.7,6.4,6.3,5.8,M,0.0,1,3.25,4.75,3.5,A,1,0,0,5.51,6.26,6.24,TB,1,TB,1,TB,1,1.3842,2.2887,2.0769,0
20,8.2,7.3,7.8,7.6,5.6,7.2,6.0,6.5,6.4,7.3,5.7,5.7,5.3,7.3,6.1,6.7,6.1,7.8,9.2,6.1,4.7,6.6,7.1,5.8,5.8,6.5,7.3,5.5,5.2,3.4,6.4,6.1,7.1,6.3,7.5,7.1,4.9,4.3,7.8,5.0,8.9,8.2,6.5,5.3,5.8,5.7,6.6,5.5,F,0.0,2,3.5,4.0,4.0,A,0,1,0,7.0,6.42,6.2,K,2,TB,1,TB,1,2.9008,2.4383,2.033,0
21,3.9,3.9,6.0,6.7,6.1,4.8,6.3,5.2,5.6,5.1,6.2,7.0,6.2,6.3,6.6,4.5,6.3,5.2,6.6,6.6,6.0,7.3,6.4,6.8,6.9,6.7,7.0,8.0,6.8,6.4,6.9,5.2,9.3,6.6,7.5,5.6,6.3,6.0,7.1,5.5,8.4,7.8,6.6,7.7,6.2,6.4,6.1,6.7,M,0.0,1,2.75,5.0,4.25,A,1,0,0,5.289999999999999,6.35,6.95,TB,1,TB,1,K,2,1.1603,2.3729,2.8571,0
22,5.0,5.1,6.3,4.5,6.8,5.8,5.1,4.1,5.8,4.5,5.3,5.3,5.7,4.2,5.6,4.2,6.0,5.2,4.5,6.7,6.9,7.4,5.3,4.9,6.6,4.4,5.9,4.9,6.5,7.5,7.3,5.2,6.8,6.5,6.4,5.6,7.1,6.6,4.8,5.5,5.5,5.7,6.8,6.1,7.8,5.2,6.8,6.1,F,0.0,1,3.5,3.0,4.5,D1,0,0,4,5.45,5.9799999999999995,6.319999999999999,TB,1,TB,1,TB,1,1.3232,2.0269,2.1648,0
23,5.0,4.5,5.3,6.8,4.8,5.5,5.5,5.5,5.5,5.5,5.7,8.0,5.4,6.3,6.3,4.7,2.3,7.2,4.5,5.3,6.9,8.0,5.8,6.1,4.1,7.3,4.9,8.5,7.0,8.3,7.6,5.3,3.4,6.2,5.7,7.3,6.0,4.4,6.1,6.7,4.1,7.0,5.8,7.2,6.2,5.3,6.4,6.1,F,0.0,2,5.0,3.5,6.0,C,0,1,3,5.2700000000000005,5.53,5.5200000000000005,TB,1,TB,1,TB,1,1.1399,1.6061,1.2857,0
24,5.3,6.3,5.7,6.9,5.9,7.5,6.6,5.1,6.4,6.9,4.7,7.4,6.1,8.4,6.4,4.4,6.1,5.8,5.1,7.4,6.7,7.1,6.7,4.3,5.0,3.5,4.5,7.3,6.1,8.8,7.9,3.9,5.3,5.5,6.3,6.7,6.7,7.5,6.7,4.5,6.1,6.8,6.4,6.4,7.6,8.8,6.1,5.2,M,0.0,2NT,6.75,5.25,5.0,C,1,2,3,6.05,6.2,6.12,TB,1,TB,1,TB,1,1.9338,2.2326,1.9451,1
25,2.4,4.1,3.6,5.5,5.9,5.6,4.9,4.2,3.3,5.7,4.9,5.3,5.7,4.5,5.6,4.8,3.9,4.6,4.6,6.9,5.7,8.0,5.1,4.7,3.3,5.3,5.6,6.9,7.2,7.3,6.1,3.6,4.4,5.0,4.4,5.6,6.8,4.0,5.0,5.2,3.8,6.3,4.5,6.6,7.1,4.1,5.7,5.1,F,0.0,1,7.0,2.25,5.25,C,0,0,3,4.45,5.3100000000000005,5.160000000000001,Y,0,TB,1,TB,1,0.3053,1.4004,0.8901,0
26,3.6,5.8,6.9,6.1,5.5,7.2,5.5,4.3,4.2,5.4,6.5,5.5,5.8,5.0,5.3,4.3,4.2,4.5,5.3,5.0,5.6,6.4,5.3,4.1,4.8,4.8,4.7,4.6,5.4,4.1,6.3,5.6,5.8,4.9,4.8,6.3,4.8,2.7,4.4,5.0,3.7,4.5,5.7,5.5,5.6,5.9,6.3,4.4,F,0.0,1,4.75,2.0,5.5,C,0,0,3,5.4,5.02,4.930000000000001,TB,1,TB,1,Y,0,1.2723,1.1292,0.6374,0
27,4.9,4.8,5.0,5.4,5.2,5.3,6.5,4.4,5.9,5.4,5.2,5.5,5.9,4.9,6.4,3.7,4.9,4.5,5.5,6.8,6.2,7.4,7.5,4.2,6.0,5.8,5.1,9.0,7.2,5.1,5.3,5.7,6.1,7.7,8.0,6.4,6.7,5.4,8.3,4.8,6.8,7.5,8.1,7.0,8.1,7.6,6.8,5.5,F,0.0,1,5.25,4.5,4.75,C,0,0,3,5.159999999999999,5.8100000000000005,6.619999999999999,TB,1,TB,1,K,2,1.028,1.8679,2.4945,0
28,8.1,5.5,5.1,5.6,6.2,6.2,6.6,4.8,4.4,4.7,5.2,6.6,6.5,5.8,6.1,4.8,5.0,6.2,4.4,6.3,4.4,5.2,6.6,5.7,2.9,5.2,4.2,5.9,5.0,5.8,7.4,5.3,5.8,5.2,6.0,6.2,6.2,6.8,5.9,5.0,5.6,6.2,6.4,6.4,7.3,6.4,6.3,5.1,F,0.0,2NT,5.25,5.0,3.5,C,0,2,3,6.24,5.320000000000001,5.909999999999999,TB,1,TB,1,TB,1,2.1272,1.4097,1.7143,0
29,6.3,6.4,6.6,6.7,6.6,8.1,7.8,4.5,8.1,4.9,5.7,4.9,4.5,8.0,6.9,4.7,5.7,5.9,4.3,6.4,5.5,7.2,6.6,4.6,7.3,4.3,4.0,7.1,5.4,8.7,6.5,4.7,8.3,6.7,5.3,6.5,5.5,7.6,6.4,4.8,8.4,6.6,6.1,7.2,5.9,8.2,6.8,5.4,M,0.0,2NT,3.25,5.25,3.75,A,1,2,0,6.590000000000001,5.74,6.49,K,2,TB,1,TB,1,2.4835,1.8025,2.3516,0
30,4.5,3.8,4.8,5.9,4.3,6.2,5.2,6.1,5.5,5.8,5.1,6.7,4.7,6.1,5.8,5.3,6.8,6.5,5.4,5.4,5.0,6.0,6.1,7.0,5.6,7.1,5.7,6.3,5.6,5.1,6.4,7.0,5.3,4.8,4.5,4.0,3.9,3.3,4.4,5.4,6.1,5.2,5.0,5.3,5.0,6.2,5.5,6.1,M,0.0,1,2.75,3.75,5.0,D1,1,0,4,4.960000000000001,6.0,4.4799999999999995,Y,0,TB,1,Y,0,0.8244,2.0456,0.1429,0
31,7.6,7.2,5.4,5.6,5.6,6.7,6.7,4.0,7.7,6.6,5.8,6.9,6.4,7.1,5.4,5.7,7.5,5.7,4.4,7.7,5.8,8.0,8.4,5.4,5.5,5.5,5.5,5.6,6.5,7.0,6.9,5.7,6.5,5.4,5.4,5.8,7.5,7.1,7.5,5.7,6.5,7.5,6.8,6.7,6.4,7.8,8.4,6.2,F,0.0,1,5.0,3.5,5.5,D1,0,0,4,6.2,6.62,6.489999999999999,TB,1,K,2,TB,1,2.0865,2.6254,2.3516,0
32,2.6,4.6,4.6,3.6,4.2,5.4,5.2,4.5,3.8,6.1,6.3,8.1,4.5,7.2,5.6,4.5,5.9,6.4,6.4,7.7,4.9,7.1,7.8,5.3,6.8,7.7,7.2,6.4,6.3,8.1,8.0,6.7,6.3,6.1,7.6,4.1,5.5,6.2,6.3,5.1,8.0,7.3,7.3,7.4,5.8,9.0,6.7,6.7,M,0.0,1,4.5,4.75,5.5,A,1,0,0,4.15,6.23,5.9,Y,0,TB,1,TB,1,0.0,2.2607,1.7033,0
33,6.0,6.8,7.1,7.3,6.6,7.1,6.9,7.0,6.0,6.9,5.8,7.7,6.2,6.9,7.0,7.6,6.8,7.7,7.1,8.2,5.6,8.4,7.4,6.9,5.4,6.6,6.2,8.4,6.6,7.7,6.3,7.3,6.7,6.1,7.1,6.8,6.6,6.6,6.9,6.5,6.7,7.6,6.7,6.6,6.7,6.6,7.1,7.5,F,0.0,2,4.5,4.5,4.75,D1,0,1,4,6.739999999999999,7.05,6.659999999999999,K,2,K,2,K,2,2.6361,3.0275,2.5385,0
